booking_id,property_id,property_name,country,region,check_in,check_out,num_nights,num_guests,booking_channel,currency,room_rate,revenue,fx_rate_to_zar,revenue_zar,created_at
B1166,P002,Table Bay Retreat,South Africa,Western Cape,2025-01-24,2025-02-03,10,3.0,Website,EUR,9200,92000.0,20.1,1849200.0,2024-10-31 00:00:00
B1167,P009,Cape Winelands Manor,South Africa,Western Cape,2025-05-29,2025-06-03,5,4.0,Website,ZAR,3200,16000.0,1.0,16000.0,2025-03-29 00:00:00
B1168,P007,Namib Desert Camp,Namibia,Erongo,2025-09-05,2025-09-13,8,2.0,Travel Agent,EUR,4100,32800.0,20.1,659280.0,2025-08-15 00:00:00
B1169,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-09-21,2025-09-30,9,1.0,Direct,EUR,4100,36900.0,20.1,741690.0,2025-09-04 00:00:00
B1170,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-05-29,2025-06-05,7,5.0,Travel Agent,EUR,5500,38500.0,20.1,773850.0,2025-05-04 00:00:00
B1171,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-09-21,2025-09-29,8,4.0,Direct,ZAR,4100,32800.0,1.0,32800.0,2025-08-17 00:00:00
B1173,P007,Namib Desert Camp,Namibia,Erongo,2025-03-10,2025-03-15,5,6.0,Direct,ZAR,4100,20500.0,1.0,20500.0,2025-02-09 00:00:00
B1174,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-10-11,2025-10-16,5,1.0,Travel Agent,ZAR,5500,27500.0,1.0,27500.0,2025-09-20 00:00:00
B1175,P002,Table Bay Retreat,South Africa,Western Cape,2025-07-21,2025-07-27,6,3.0,OTA,GBP,7800,46800.0,23.4,1095120.0,2025-07-11 00:00:00
B1176,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-01-20,2025-01-23,3,6.0,Website,ZAR,4100,12300.0,1.0,12300.0,2024-12-29 00:00:00
B1177,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-06-13,2025-06-16,3,4.0,Travel Agent,GBP,7800,23400.0,23.4,547560.0,2025-03-28 00:00:00
B1178,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-01-09,2025-02-09,31,3.0,Travel Agent,USD,4100,4100.0,18.5,75850.0,2025-07-25 00:00:00
B1179,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-10-23,2025-10-27,4,6.0,Website,ZAR,2500,10000.0,1.0,10000.0,2025-08-06 00:00:00
B1180,P002,Table Bay Retreat,South Africa,Western Cape,2025-04-08,2025-04-09,1,4.0,Website,ZAR,4100,4100.0,1.0,4100.0,2025-01-15 00:00:00
B1181,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-01-02,2025-04-02,90,5.0,Website,GBP,3200,9600.0,23.4,224640.0,2024-11-20 00:00:00
B1182,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-10-07,2025-10-13,6,6.0,Website,GBP,12000,72000.0,23.4,1684800.0,2025-08-25 00:00:00
B1183,P004,Okavango Delta Camp,Botswana,North-West,2025-06-02,2025-06-07,5,6.0,Website,ZAR,3200,16000.0,1.0,16000.0,2025-04-23 00:00:00
B1185,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-08-15,2025-08-20,5,6.0,Travel Agent,EUR,5500,27500.0,20.1,552750.0,2025-07-28 00:00:00
B1186,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-10-28,2025-11-01,4,2.0,Direct,EUR,2500,10000.0,20.1,201000.0,2025-08-24 00:00:00
B1188,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-05-27,2025-05-28,1,1.0,Direct,EUR,9200,9200.0,20.1,184920.0,2025-04-30 00:00:00
B1189,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-07-23,2025-07-31,8,2.0,Direct,GBP,9200,73600.0,23.4,1722240.0,2025-06-06 00:00:00
B1190,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-08-21,2025-08-30,9,5.0,Website,EUR,5500,49500.0,20.1,994950.0,2025-07-05 00:00:00
B1191,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-08-23,2025-08-28,5,6.0,Travel Agent,USD,3200,16000.0,18.5,296000.0,2025-05-29 00:00:00
B1192,P007,Namib Desert Camp,Namibia,Erongo,2025-08-07,2025-08-16,9,3.0,OTA,ZAR,2500,22500.0,1.0,22500.0,2025-07-02 00:00:00
B1193,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-05-14,2025-05-21,7,2.0,Travel Agent,GBP,5500,38500.0,23.4,900900.0,2025-04-06 00:00:00
B1194,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-05-01,2025-05-02,1,6.0,OTA,ZAR,2500,2500.0,1.0,2500.0,2025-03-18 00:00:00
B1195,P002,Table Bay Retreat,South Africa,Western Cape,2025-06-01,2025-06-07,6,5.0,Website,EUR,3200,19200.0,20.1,385920.0,2025-03-11 00:00:00
B1196,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-08-01,2025-08-10,9,4.0,Direct,EUR,12000,108000.0,20.1,2170800.0,2025-07-18 00:00:00
B1197,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-02-27,2025-02-28,1,5.0,OTA,EUR,7800,7800.0,20.1,156780.0,2024-12-28 00:00:00
B1198,P002,Table Bay Retreat,South Africa,Western Cape,2025-04-16,2025-04-26,10,4.0,Website,ZAR,2500,25000.0,1.0,25000.0,2025-01-29 00:00:00
B1199,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-10-14,2025-10-22,8,6.0,Website,GBP,12000,96000.0,23.4,2246400.0,2025-07-27 00:00:00
B1200,P002,Table Bay Retreat,South Africa,Western Cape,2025-01-24,2025-01-31,7,3.0,Direct,USD,9200,64400.0,18.5,1191400.0,2024-11-28 00:00:00
B1202,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-06-28,2025-06-30,2,2.0,OTA,ZAR,7800,15600.0,1.0,15600.0,2025-06-21 00:00:00
B1203,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-08-26,2025-09-04,9,4.0,OTA,ZAR,7800,70200.0,1.0,70200.0,2025-07-28 00:00:00
B1204,P002,Table Bay Retreat,South Africa,Western Cape,2025-01-17,2025-01-24,7,5.0,OTA,USD,12000,84000.0,18.5,1554000.0,2024-11-16 00:00:00
B1205,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-01-25,2025-01-29,4,6.0,OTA,ZAR,2500,10000.0,1.0,10000.0,2025-01-13 00:00:00
B1206,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-09-15,2025-09-20,5,2.0,Travel Agent,GBP,12000,60000.0,23.4,1404000.0,2025-06-18 00:00:00
B1207,P009,Cape Winelands Manor,South Africa,Western Cape,2025-04-24,2025-05-01,7,3.0,OTA,USD,4100,28700.0,18.5,530950.0,2025-04-13 00:00:00
B1208,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-07-15,2025-07-24,9,3.0,OTA,ZAR,9200,82800.0,1.0,82800.0,2025-05-03 00:00:00
B1211,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-01-21,2025-01-23,2,2.0,OTA,EUR,12000,24000.0,20.1,482400.0,2025-01-15 00:00:00
B1212,P004,Okavango Delta Camp,Botswana,North-West,2025-04-08,2025-04-10,2,6.0,OTA,ZAR,12000,24000.0,1.0,24000.0,2025-02-26 00:00:00
B1213,P007,Namib Desert Camp,Namibia,Erongo,2025-08-27,2025-09-05,9,6.0,Travel Agent,GBP,4100,36900.0,23.4,863460.0,2025-06-23 00:00:00
B1214,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-04-15,2025-04-21,6,3.0,OTA,USD,5500,33000.0,18.5,610500.0,2025-01-30 00:00:00
B1215,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-10-24,2025-10-31,7,3.0,OTA,EUR,3200,22400.0,20.1,450240.0,2025-08-17 00:00:00
B1216,P009,Cape Winelands Manor,South Africa,Western Cape,2025-06-22,2025-06-27,5,4.0,OTA,ZAR,9200,46000.0,1.0,46000.0,2025-04-09 00:00:00
B1217,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-04-05,2025-04-14,9,6.0,Direct,USD,2500,22500.0,18.5,416250.0,2025-01-10 00:00:00
B1218,P004,Okavango Delta Camp,Botswana,North-West,2025-02-04,2025-02-07,3,1.0,Direct,ZAR,3200,9600.0,1.0,9600.0,2025-01-30 00:00:00
B1219,P009,Cape Winelands Manor,South Africa,Western Cape,2025-10-10,2025-10-17,7,1.0,Travel Agent,GBP,2500,17500.0,23.4,409500.0,2025-08-11 00:00:00
B1220,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-02-24,2025-02-26,2,5.0,Travel Agent,EUR,3200,6400.0,20.1,128640.0,2025-02-09 00:00:00
B1221,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-07-27,2025-08-04,8,5.0,Direct,EUR,3200,25600.0,20.1,514560.0,2025-06-04 00:00:00
B1222,P009,Cape Winelands Manor,South Africa,Western Cape,2025-09-01,2025-09-02,1,6.0,Website,EUR,2500,2500.0,20.1,50250.0,2025-06-16 00:00:00
B1223,P002,Table Bay Retreat,South Africa,Western Cape,2025-09-28,2025-09-29,1,2.0,Direct,ZAR,3200,3200.0,1.0,3200.0,2025-07-16 00:00:00
B1224,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-01-17,2025-01-20,3,3.0,OTA,EUR,2500,7500.0,20.1,150750.0,2024-12-05 00:00:00
B1225,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-10-16,2025-10-20,4,5.0,Travel Agent,ZAR,12000,48000.0,1.0,48000.0,2025-10-01 00:00:00
B1226,P009,Cape Winelands Manor,South Africa,Western Cape,2025-06-27,2025-06-28,1,1.0,Travel Agent,EUR,5500,5500.0,20.1,110550.0,2025-05-03 00:00:00
B1227,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-01-16,2025-01-21,5,4.0,Website,EUR,5500,27500.0,20.1,552750.0,2024-10-19 00:00:00
B1228,P007,Namib Desert Camp,Namibia,Erongo,2025-02-13,2025-02-23,10,3.0,Direct,EUR,12000,120000.0,20.1,2412000.0,2024-11-19 00:00:00
B1229,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-07-19,2025-07-25,6,3.0,Travel Agent,USD,2500,15000.0,18.5,277500.0,2025-07-01 00:00:00
B1230,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-02-14,2025-02-17,3,4.0,Direct,ZAR,5500,16500.0,1.0,16500.0,2024-11-25 00:00:00
B1231,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-06-16,2025-06-23,7,1.0,Direct,ZAR,4100,28700.0,1.0,28700.0,2025-04-24 00:00:00
B1232,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-03-13,2025-03-18,5,3.0,Direct,ZAR,4100,20500.0,1.0,20500.0,2025-01-29 00:00:00
B1233,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-02-09,2025-02-15,6,3.0,OTA,ZAR,3200,19200.0,1.0,19200.0,2025-02-04 00:00:00
B1234,P007,Namib Desert Camp,Namibia,Erongo,2025-06-20,2025-06-30,10,4.0,Travel Agent,GBP,12000,120000.0,23.4,2808000.0,2025-05-29 00:00:00
B1235,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-06-14,2025-06-24,10,6.0,OTA,ZAR,3200,32000.0,1.0,32000.0,2025-03-20 00:00:00
B1236,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-10-22,2025-10-26,4,3.0,Travel Agent,GBP,5500,22000.0,23.4,514800.0,2025-08-09 00:00:00
B1237,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-09-10,2025-10-10,30,6.0,Travel Agent,EUR,5500,5500.0,20.1,110550.0,2025-08-13 00:00:00
B1238,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-03-13,2025-03-18,5,2.0,Website,EUR,4100,20500.0,20.1,412050.0,2025-01-06 00:00:00
B1239,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-07-25,2025-08-03,9,5.0,Direct,ZAR,12000,108000.0,1.0,108000.0,2025-05-13 00:00:00
B1240,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-02-13,2025-02-15,2,2.0,Direct,GBP,9200,18400.0,23.4,430560.0,2024-12-15 00:00:00
B9008,P007,Namib Desert Camp,Namibia,Erongo,2025-12-01,2025-12-06,5,3.0,Direct,USD,7800,39000.0,18.5,721500.0,2025-11-01 09:15:00
